Country Name,GDP 2015,GDP 2016,GDP 2017,Country Name,GDP 2015,GDP 2016,GDP 2017
Tonga,4320.63799,3966.15652,4217.476507,,,,
South Asia (IDA & IBRD),1541.835813,1648.678479,1867.272248,,,,
Sub-Saharan Africa (IDA & IBRD countries),1669.088368,1511.184408,1598.968095,,,,
Trinidad and Tobago,18332.49031,15786.12052,16076.08204,,,,
Tunisia,3859.814436,3698.565075,3494.318864,,,,
Turkey,10948.72461,10820.63384,10499.74557,,,,
Tuvalu,3197.795645,3255.894866,3572.608367,,,,
Tanzania,947.9334465,966.4746224,1004.841121,,,,
Uganda,709.0210386,608.7057351,631.5227198,,,,
Ukraine,2124.662666,2187.731997,2640.675677,,,,
Upper middle income,8032.489459,7921.734348,8663.27389,,,,
Uruguay,15613.76427,15387.14403,16437.24487,,,,
United States,56803.47243,57904.20196,59927.92983,,,,
Uzbekistan,2615.025134,2567.799418,1826.56704,,,,
St. Vincent and the Grenadines,6921.40975,7041.560804,7149.630866,,,,
"Venezuela, RB",,,,,,,
British Virgin Islands,,,,,,,
Virgin Islands (U.S.),34797.14047,35931.54125,35938.02439,,,,
Vietnam,2085.101484,2192.214539,2365.621666,,,,
Vanuatu,2721.635936,2830.965284,2976.107116,,,,
World,10217.54402,10248.11112,10768.96336,,,,
Samoa,4155.279353,4043.694,4307.805464,,,,
Kosovo,3574.543333,3697.121677,3948.08815,,,,
Yemen,1608.744312,1139.870568,963.494721,,,,
South Africa,5733.122569,5262.052886,6120.5068,,,,
Zambia,1332.194321,1280.578447,1534.865371,,,,
Zimbabwe,1445.071062,1464.583529,1602.403507,,,,
