Country Name,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Guatemala,"International migrant stock, total",43309,,,,,47677,,,,,40772,,,,,38201,,,,,42021,,,,,81584,,,,,264257,..,..,..,..,156188,,,,,48119,,,,,57252,,,,,66384,,,,,76352,,,
Guinea,"International migrant stock, total",11313,,,,,13818,,,,,16878,,,,,20615,,,,,25180,,,,,30755,,,,,403621,..,..,..,..,774505,,,,,560075,,,,,229611,,,,,205111,,,,,228413,,,
Guinea-Bissau,"International migrant stock, total",11643,,,,,11938,,,,,12241,,,,,12551,,,,,12869,,,,,12614,,,,,15368,..,..,..,..,27961,,,,,20450,,,,,20736,,,,,21061,,,,,22333,,,
Guyana,"International migrant stock, total",14035,,,,,13454,,,,,12715,,,,,8979,,,,,6363,,,,,5105,,,,,4095,..,..,..,..,6352,,,,,8610,,,,,10868,,,,,13126,,,,,15384,,,
Haiti,"International migrant stock, total",14533,,,,,12718,,,,,11130,,,,,12118,,,,,14098,,,,,16403,,,,,19084,..,..,..,..,22458,,,,,25832,,,,,30468,,,,,35104,,,,,39529,,,
Honduras,"International migrant stock, total",60024,,,,,37807,,,,,20625,,,,,14434,,,,,32767,,,,,82874,,,,,270423,..,..,..,..,149442,,,,,28461,,,,,27875,,,,,27288,,,,,28070,,,
"Hong Kong SAR, China","International migrant stock, total",1627488,,,,,1696828,,,,,1715474,,,,,1884492,,,,,2100549,,,,,2184333,,,,,2218473,..,..,..,..,2443798,,,,,2669122,,,,,2721235,,,,,2779950,,,,,2838665,,,
Hungary,"International migrant stock, total",518137,,,,,475994,,,,,437279,,,,,401713,,,,,369039,,,,,339023,,,,,347510,..,..,..,..,322234,,,,,296957,,,,,366787,,,,,436616,,,,,449632,,,
Iceland,"International migrant stock, total",3317,,,,,4515,,,,,4914,,,,,5279,,,,,5765,,,,,7098,,,,,9584,..,..,..,..,12738,,,,,15892,,,,,25492,,,,,35091,,,,,37522,,,
India,"International migrant stock, total",9410535,,,,,9350557,,,,,9181520,,,,,9011238,,,,,8845466,,,,,8131017,,,,,7493204,..,..,..,..,6952238,,,,,6411272,,,,,5923642,,,,,5436012,,,,,5240960,,,
Indonesia,"International migrant stock, total",1859466,,,,,1475121,,,,,1170220,,,,,928340,,,,,756851,,,,,593098,,,,,465612,..,..,..,..,378960,,,,,292307,,,,,289568,,,,,305416,,,,,328846,,,
"Iran, Islamic Rep.","International migrant stock, total",48374,,,,,53761,,,,,86165,,,,,157166,,,,,555455,,,,,2855231,,,,,4291601,..,..,..,..,2937668,,,,,2803805,,,,,2568930,,,,,2761561,,,,,2726420,,,
Iraq,"International migrant stock, total",87752,,,,,78709,,,,,74870,,,,,71219,,,,,68826,,,,,111660,,,,,83638,..,..,..,..,199460,,,,,210525,,,,,132915,,,,,117389,,,,,353881,,,
Ireland,"International migrant stock, total",73019,,,,,94397,,,,,130411,,,,,171429,,,,,223238,,,,,225285,,,,,227961,..,..,..,..,226892,,,,,350552,,,,,589046,,,,,730542,,,,,746260,,,
Isle of Man,"International migrant stock, total",22192,,,,,23916,,,,,25775,,,,,27777,,,,,29936,,,,,32262,,,,,34769,..,..,..,..,36886,,,,,39002,,,,,41475,,,,,43447,,,,,45221,,,
Israel,"International migrant stock, total",1185573,,,,,1291182,,,,,1408744,,,,,1446242,,,,,1430985,,,,,1522681,,,,,1632704,..,..,..,..,1792185,,,,,1851309,,,,,1889503,,,,,1950615,,,,,2011727,,,
Italy,"International migrant stock, total",459553,,,,,629595,,,,,862556,,,,,1006374,,,,,1108852,,,,,1252814,,,,,1428219,..,..,..,..,1774954,,,,,2121688,,,,,3954790,,,,,5787893,,,,,5788875,,,
Jamaica,"International migrant stock, total",21904,,,,,23994,,,,,26100,,,,,24598,,,,,23182,,,,,21916,,,,,20475,..,..,..,..,22713,,,,,24952,,,,,24314,,,,,23677,,,,,23167,,,
Japan,"International migrant stock, total",692651,,,,,712854,,,,,725139,,,,,770342,,,,,802422,,,,,850775,,,,,1075626,..,..,..,..,1381097,,,,,1686567,,,,,2012916,,,,,2134151,,,,,2043877,,,
Jordan,"International migrant stock, total",385789,,,,,453521,,,,,531617,,,,,675638,,,,,810326,,,,,942798,,,,,1146349,..,..,..,..,1537097,,,,,1927845,,,,,2325414,,,,,2722983,,,,,3112026,,,
Kazakhstan,"International migrant stock, total",..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,3619200,..,..,..,..,3245250,,,,,2871300,,,,,3102962,,,,,3334623,,,,,3546778,,,
Kenya,"International migrant stock, total",59330,,,,,101581,,,,,159044,,,,,160512,,,,,159892,,,,,151664,,,,,297292,..,..,..,..,618745,,,,,699139,,,,,756894,,,,,926959,,,,,1084357,,,
